article_id,ticker,published_at,available_at,title,body,source,expected_label
N0002,AAA,2024-12-24T14:29:00-05:00,2024-12-24T14:29:00-05:00,AAA 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0079,CCC,2024-12-24T17:48:00-05:00,2024-12-25T09:30:00-05:00,CCC 行业观察 教学新闻,This is synthetic education-only text: sector conditions remain mixed in this synthetic note. It is not investment advice.,synthetic_learning_news,neutral
N0048,BBB,2024-12-27T20:46:00-05:00,2024-12-30T09:30:00-05:00,BBB 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0093,CCC,2024-12-31T10:40:00-05:00,2024-12-31T10:40:00-05:00,CCC 成本改善 教学新闻,This is synthetic education-only text: operating costs improved while customer retention stayed firm. It is not investment advice.,synthetic_learning_news,positive
N0063,BBB,2024-12-31T17:04:00-05:00,2025-01-01T09:30:00-05:00,BBB 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0051,BBB,2025-01-01T17:44:00-05:00,2025-01-02T09:30:00-05:00,BBB 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0056,BBB,2025-01-06T20:46:00-05:00,2025-01-07T09:30:00-05:00,BBB 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0160,EEE,2025-01-06T20:23:00-05:00,2025-01-07T09:30:00-05:00,EEE 成本压力 教学新闻,This is synthetic education-only text: input costs rose and margins may face pressure. It is not investment advice.,synthetic_learning_news,negative
N0042,BBB,2025-01-07T14:14:00-05:00,2025-01-07T14:14:00-05:00,BBB 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0094,CCC,2025-01-10T14:10:00-05:00,2025-01-10T14:10:00-05:00,CCC 行业观察 教学新闻,This is synthetic education-only text: sector conditions remain mixed in this synthetic note. It is not investment advice.,synthetic_learning_news,neutral
N0143,EEE,2025-01-10T17:06:00-05:00,2025-01-13T09:30:00-05:00,EEE 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0095,CCC,2025-01-13T17:37:00-05:00,2025-01-14T09:30:00-05:00,CCC 需求放缓 教学新闻,This is synthetic education-only text: management flags softer demand and delayed customer orders. It is not investment advice.,synthetic_learning_news,negative
N0140,EEE,2025-01-13T20:45:00-05:00,2025-01-14T09:30:00-05:00,EEE 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0005,AAA,2025-01-14T10:32:00-05:00,2025-01-14T10:32:00-05:00,AAA 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0086,CCC,2025-01-14T14:26:00-05:00,2025-01-14T14:26:00-05:00,CCC 需求放缓 教学新闻,This is synthetic education-only text: management flags softer demand and delayed customer orders. It is not investment advice.,synthetic_learning_news,negative
N0146,EEE,2025-01-17T14:22:00-05:00,2025-01-17T14:22:00-05:00,EEE 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0084,CCC,2025-01-17T20:37:00-05:00,2025-01-20T09:30:00-05:00,CCC 成本改善 教学新闻,This is synthetic education-only text: operating costs improved while customer retention stayed firm. It is not investment advice.,synthetic_learning_news,positive
N0062,BBB,2025-01-22T14:21:00-05:00,2025-01-22T14:21:00-05:00,BBB 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0112,DDD,2025-01-24T20:03:00-05:00,2025-01-27T09:30:00-05:00,DDD 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0153,EEE,2025-01-27T10:00:00-05:00,2025-01-27T10:00:00-05:00,EEE 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0028,AAA,2025-01-27T20:34:00-05:00,2025-01-28T09:30:00-05:00,AAA 订单增长 教学新闻,This is synthetic education-only text: management reports stronger demand and improved backlog. It is not investment advice.,synthetic_learning_news,positive
N0159,EEE,2025-01-27T17:16:00-05:00,2025-01-28T09:30:00-05:00,EEE 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
N0104,DDD,2025-01-31T20:21:00-05:00,2025-02-03T09:30:00-05:00,DDD 会议纪要 教学新闻,This is synthetic education-only text: the company shares a routine operational update. It is not investment advice.,synthetic_learning_news,neutral
N0027,AAA,2025-02-05T17:43:00-05:00,2025-02-06T09:30:00-05:00,AAA 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0123,DDD,2025-02-06T17:26:00-05:00,2025-02-07T09:30:00-05:00,DDD 执行风险 教学新闻,This is synthetic education-only text: a project delay creates uncertainty in this teaching scenario. It is not investment advice.,synthetic_learning_news,negative
N0155,EEE,2025-02-07T17:28:00-05:00,2025-02-10T09:30:00-05:00,EEE 产品进展 教学新闻,This is synthetic education-only text: new product tests show steady adoption in a teaching scenario. It is not investment advice.,synthetic_learning_news,positive
N0067,CCC,2025-02-19T17:14:00-05:00,2025-02-20T09:30:00-05:00,CCC 行业观察 教学新闻,This is synthetic education-only text: sector conditions remain mixed in this synthetic note. It is not investment advice.,synthetic_learning_news,neutral
N0073,CCC,2025-02-21T10:13:00-05:00,2025-02-21T10:13:00-05:00,CCC 行业观察 教学新闻,This is synthetic education-only text: sector conditions remain mixed in this synthetic note. It is not investment advice.,synthetic_learning_news,neutral
N0060,BBB,2025-02-24T20:30:00-05:00,2025-02-25T09:30:00-05:00,BBB 例行更新 教学新闻,This is synthetic education-only text: management repeats prior guidance without material change. It is not investment advice.,synthetic_learning_news,neutral
